person_id,site_id,first_name,last_name,role,email,phone,start_date,is_active
36,11,Joanne,Russell,SITE_MANAGER,joanne.russell@opononiareascho.school.nz,021-418-6453,2021-10-06,True
37,11,Isla,Anderson,HS_REP,isla.anderson@opononiareascho.school.nz,024-895-6576,2022-07-10,True
38,11,Ethan,Gallagher,CARETAKER,ethan.gallagher@opononiareascho.school.nz,027-549-3821,2021-01-17,True
39,12,Isla,Rewi,PRINCIPAL,isla.rewi@tauraroaareasch.school.nz,025-207-6830,2020-07-18,True
40,12,Joanne,Mitchell,SITE_MANAGER,joanne.mitchell@tauraroaareasch.school.nz,025-299-7290,2022-08-15,True
41,12,Mere,Hamilton,HS_REP,mere.hamilton@tauraroaareasch.school.nz,023-840-7868,2022-04-26,True
42,12,Jessica,Johnston,CARETAKER,jessica.johnston@tauraroaareasch.school.nz,021-269-1788,2021-08-03,True
43,13,Michelle,Robinson,PRINCIPAL,michelle.robinson@tekamohighschoo.school.nz,022-752-2231,2021-05-23,True
44,13,Noah,Burns,SITE_MANAGER,noah.burns@tekamohighschoo.school.nz,026-953-7373,2022-03-10,True
45,13,Reuben,Bennett,HS_REP,reuben.bennett@tekamohighschoo.school.nz,022-786-9935,2021-03-29,True
46,14,Tracey,Turner,PRINCIPAL,tracey.turner@tikipungahighsc.school.nz,022-942-4582,2020-09-17,True
47,14,Kylie,Henderson,SITE_MANAGER,kylie.henderson@tikipungahighsc.school.nz,023-245-7430,2021-08-23,True
48,14,Lisa,Nguyen,HS_REP,lisa.nguyen@tikipungahighsc.school.nz,028-398-4248,2021-09-03,True
49,15,Freya,Martin,PRINCIPAL,freya.martin@whangāreiboyshi.school.nz,023-737-2073,2022-01-24,True
50,15,Simon,Harawira,SITE_MANAGER,simon.harawira@whangāreiboyshi.school.nz,021-293-6923,2020-01-21,True
51,15,Georgia,Kumar,HS_REP,georgia.kumar@whangāreiboyshi.school.nz,021-821-8476,2020-09-22,True
52,16,Hemi,Mahuta,PRINCIPAL,hemi.mahuta@whangāreigirlsh.school.nz,025-105-6378,2020-06-27,True
53,16,Wiremu,Mahuta,SITE_MANAGER,wiremu.mahuta@whangāreigirlsh.school.nz,022-830-9910,2020-02-15,True
54,16,Brooke,Stewart,HS_REP,brooke.stewart@whangāreigirlsh.school.nz,028-115-9958,2021-06-15,True
55,16,Liam,Clarke,CARETAKER,liam.clarke@whangāreigirlsh.school.nz,027-800-4711,2020-06-03,True
56,17,Amelia,Lee,PRINCIPAL,amelia.lee@pompalliercatho.school.nz,027-780-9781,2022-07-03,True
57,17,Stacey,Murray,SITE_MANAGER,stacey.murray@pompalliercatho.school.nz,022-614-7684,2022-03-21,True
58,17,Craig,Green,HS_REP,craig.green@pompalliercatho.school.nz,021-248-2627,2022-03-20,True
59,18,Maia,Stewart,PRINCIPAL,maia.stewart@mangakahiaareas.school.nz,023-902-5469,2020-06-15,True
60,18,Jessica,Mahuta,SITE_MANAGER,jessica.mahuta@mangakahiaareas.school.nz,027-667-8732,2022-04-20,True
61,18,Matthew,Collins,HS_REP,matthew.collins@mangakahiaareas.school.nz,027-521-6493,2020-06-21,True
62,19,Kauri,Turner,PRINCIPAL,kauri.turner@dargavillehighs.school.nz,026-239-5531,2022-01-19,True
63,19,Wiremu,Harris,SITE_MANAGER,wiremu.harris@dargavillehighs.school.nz,028-894-6939,2020-02-05,True
64,19,Mason,Hamilton,HS_REP,mason.hamilton@dargavillehighs.school.nz,023-536-5332,2020-09-21,True
65,19,Matthew,White,CARETAKER,matthew.white@dargavillehighs.school.nz,022-173-9249,2022-08-18,True
66,20,Scott,Wong,PRINCIPAL,scott.wong@breambaycollege.school.nz,025-406-3853,2020-10-18,True
67,20,Mason,Harris,SITE_MANAGER,mason.harris@breambaycollege.school.nz,022-731-6588,2020-02-14,True
68,20,Sophie,Kim,HS_REP,sophie.kim@breambaycollege.school.nz,026-775-5774,2020-01-06,True
69,20,Andrew,Morgan,CARETAKER,andrew.morgan@breambaycollege.school.nz,021-665-2232,2020-03-28,True
70,21,Sam,Edwards,PRINCIPAL,sam.edwards@otamateahighsch.school.nz,022-344-5006,2021-11-16,True
71,21,Emma,Mitchell,SITE_MANAGER,emma.mitchell@otamateahighsch.school.nz,021-314-8085,2022-03-25,True
72,21,Luke,Clarke,HS_REP,luke.clarke@otamateahighsch.school.nz,027-771-5053,2021-08-25,True
73,21,Emma,Hamilton,CARETAKER,emma.hamilton@otamateahighsch.school.nz,026-929-4221,2020-07-19,True
74,22,Tracey,Williams,PRINCIPAL,tracey.williams@ruawaicollege.school.nz,024-414-7424,2022-04-22,True
75,22,Tane,White,SITE_MANAGER,tane.white@ruawaicollege.school.nz,024-283-3483,2021-01-21,True
76,22,Ihaia,Tamati,HS_REP,ihaia.tamati@ruawaicollege.school.nz,023-214-7289,2021-04-07,True
77,22,Shane,White,CARETAKER,shane.white@ruawaicollege.school.nz,024-991-5375,2021-03-17,True
78,23,Michael,Baker,PRINCIPAL,michael.baker@rodneycollege.school.nz,021-353-8282,2020-03-22,True
79,23,Simon,Wilson,SITE_MANAGER,simon.wilson@rodneycollege.school.nz,022-405-3072,2022-06-16,True
80,23,Brooke,Wilson,HS_REP,brooke.wilson@rodneycollege.school.nz,025-224-4853,2020-05-14,True
81,23,Kaia,Rewi,CARETAKER,kaia.rewi@rodneycollege.school.nz,021-865-4298,2020-06-24,True
82,24,Simon,Thompson,PRINCIPAL,simon.thompson@mahurangicolleg.school.nz,024-813-8441,2020-06-18,True
83,24,Max,Parker,SITE_MANAGER,max.parker@mahurangicolleg.school.nz,023-384-3148,2021-04-18,True
84,24,Ruby,Russell,HS_REP,ruby.russell@mahurangicolleg.school.nz,024-642-9091,2021-04-08,True
85,25,David,Johnston,PRINCIPAL,david.johnston@orewacollege.school.nz,021-802-7643,2021-04-21,True
86,25,Isla,Tamati,SITE_MANAGER,isla.tamati@orewacollege.school.nz,023-397-3573,2021-07-19,True
87,25,Isla,Clarke,HS_REP,isla.clarke@orewacollege.school.nz,021-282-1358,2022-06-09,True
88,25,Ethan,Roberts,CARETAKER,ethan.roberts@orewacollege.school.nz,024-403-4363,2020-12-29,True
89,26,Ben,Clarke,PRINCIPAL,ben.clarke@kaiparacollege.school.nz,026-714-1296,2020-04-29,True
90,26,Mason,Collins,SITE_MANAGER,mason.collins@kaiparacollege.school.nz,024-993-2781,2022-03-14,True
91,26,Nikau,Smith,HS_REP,nikau.smith@kaiparacollege.school.nz,023-778-1159,2022-04-24,True
92,27,Nikau,Lee,PRINCIPAL,nikau.lee@longbaycollege.school.nz,025-333-2232,2021-12-07,True
93,27,Ryan,Johnston,SITE_MANAGER,ryan.johnston@longbaycollege.school.nz,022-986-1981,2020-03-15,True
94,27,Lisa,Tamati,HS_REP,lisa.tamati@longbaycollege.school.nz,023-792-6405,2021-07-30,True
95,27,Hayley,Henderson,CARETAKER,hayley.henderson@longbaycollege.school.nz,027-721-3846,2020-02-23,True
96,28,Amelia,Young,PRINCIPAL,amelia.young@rangitotocolleg.school.nz,021-376-5980,2021-04-09,True
97,28,Moana,Williams,SITE_MANAGER,moana.williams@rangitotocolleg.school.nz,027-224-2428,2021-02-16,True
98,28,Olivia,Henderson,HS_REP,olivia.henderson@rangitotocolleg.school.nz,023-177-8025,2021-04-24,True
99,29,Nikau,Walker,PRINCIPAL,nikau.walker@kristinschool.school.nz,023-948-8623,2021-06-21,True
100,29,Amelia,Baker,SITE_MANAGER,amelia.baker@kristinschool.school.nz,023-905-8960,2021-12-04,True
101,29,Scott,Te Huia,HS_REP,scott.te huia@kristinschool.school.nz,025-956-9755,2020-02-24,True
102,29,Amber,Anderson,CARETAKER,amber.anderson@kristinschool.school.nz,024-429-5304,2020-02-23,True
103,30,David,Mahuta,PRINCIPAL,david.mahuta@glenfieldcolleg.school.nz,023-323-8384,2021-05-03,True
104,30,Amelia,Smith,SITE_MANAGER,amelia.smith@glenfieldcolleg.school.nz,025-582-9486,2022-05-09,True
105,30,Grace,Anderson,HS_REP,grace.anderson@glenfieldcolleg.school.nz,023-272-8531,2022-01-14,True
106,30,Rawiri,Walker,CARETAKER,rawiri.walker@glenfieldcolleg.school.nz,023-284-7495,2021-08-12,True
107,31,Tracey,Palmer,PRINCIPAL,tracey.palmer@birkenheadcolle.school.nz,021-302-2126,2022-04-06,True
108,31,Sophie,Robinson,SITE_MANAGER,sophie.robinson@birkenheadcolle.school.nz,024-890-3408,2021-01-14,True
109,31,Emma,Smith,HS_REP,emma.smith@birkenheadcolle.school.nz,026-153-7068,2020-05-12,True
110,31,Josh,Johnston,CARETAKER,josh.johnston@birkenheadcolle.school.nz,026-282-5309,2020-09-09,True
111,32,Sarah,Edwards,PRINCIPAL,sarah.edwards@northcotecolleg.school.nz,026-300-9814,2022-06-26,True
112,32,Michael,Taylor,SITE_MANAGER,michael.taylor@northcotecolleg.school.nz,023-714-5436,2020-08-14,True
113,32,Grant,Rewi,HS_REP,grant.rewi@northcotecolleg.school.nz,026-949-9725,2022-08-16,True
114,35,Sarah,Mahuta,PRINCIPAL,sarah.mahuta@carmelcollege.school.nz,021-177-9737,2021-02-02,True
115,35,Luke,Turner,SITE_MANAGER,luke.turner@carmelcollege.school.nz,027-562-8467,2021-09-25,True
116,35,Simon,Turner,HS_REP,simon.turner@carmelcollege.school.nz,025-301-2994,2020-01-26,True
117,36,Ben,Singh,PRINCIPAL,ben.singh@takapunagrammar.school.nz,021-885-8958,2021-01-29,True
118,36,Aroha,Wright,SITE_MANAGER,aroha.wright@takapunagrammar.school.nz,028-532-8298,2020-04-25,True
119,36,Grace,Kumar,HS_REP,grace.kumar@takapunagrammar.school.nz,026-740-6164,2021-04-19,True
120,37,Liam,Te Huia,PRINCIPAL,liam.te huia@westlakeboyshig.school.nz,022-156-7641,2021-02-03,True
121,37,Isla,Campbell,SITE_MANAGER,isla.campbell@westlakeboyshig.school.nz,026-496-7788,2022-03-01,True
122,37,Ethan,Kim,HS_REP,ethan.kim@westlakeboyshig.school.nz,021-994-5179,2021-10-22,True
123,37,Nicola,Young,CARETAKER,nicola.young@westlakeboyshig.school.nz,023-998-4947,2021-08-03,True
124,38,Max,Wilson,PRINCIPAL,max.wilson@westlakegirlshi.school.nz,021-992-6111,2022-06-01,True
125,38,Grant,Martin,SITE_MANAGER,grant.martin@westlakegirlshi.school.nz,021-518-9328,2022-04-02,True
126,38,Ihaia,Turner,HS_REP,ihaia.turner@westlakegirlshi.school.nz,022-607-2387,2021-01-20,True
127,38,Kauri,Johnston,CARETAKER,kauri.johnston@westlakegirlshi.school.nz,026-458-3998,2021-03-25,True
128,39,Paula,Brown,PRINCIPAL,paula.brown@rosminicollege.school.nz,025-732-9344,2022-08-05,True
129,39,Scott,Fitzgerald,SITE_MANAGER,scott.fitzgerald@rosminicollege.school.nz,021-213-6192,2020-11-14,True
130,39,Mere,Kumar,HS_REP,mere.kumar@rosminicollege.school.nz,022-903-9458,2021-03-09,True
131,40,Scott,Fitzgerald,PRINCIPAL,scott.fitzgerald@rutherfordcolle.school.nz,028-220-1681,2020-10-01,True
132,40,Tracey,Hill,SITE_MANAGER,tracey.hill@rutherfordcolle.school.nz,023-841-1460,2022-07-01,True
133,40,Michael,Parker,HS_REP,michael.parker@rutherfordcolle.school.nz,021-346-2374,2022-05-13,True
134,41,Simon,Scott,PRINCIPAL,simon.scott@macleanscollege.school.nz,021-496-5478,2021-02-05,True
135,41,Mere,Morgan,SITE_MANAGER,mere.morgan@macleanscollege.school.nz,024-919-5909,2020-12-25,True
136,41,Ihaia,Young,HS_REP,ihaia.young@macleanscollege.school.nz,021-496-9153,2022-07-16,True
137,42,Andrew,Harawira,PRINCIPAL,andrew.harawira@greenbayhighsch.school.nz,025-779-4743,2020-12-06,True
138,42,Tane,Cooper,SITE_MANAGER,tane.cooper@greenbayhighsch.school.nz,025-629-9517,2020-10-25,True
139,42,Zara,Green,HS_REP,zara.green@greenbayhighsch.school.nz,028-462-3617,2021-09-23,True
140,42,Holly,Lee,CARETAKER,holly.lee@greenbayhighsch.school.nz,023-572-9727,2022-02-20,True
141,43,Kaia,Rewi,PRINCIPAL,kaia.rewi@masseyhighschoo.school.nz,021-925-1450,2022-06-12,True
142,43,Joanne,Taylor,SITE_MANAGER,joanne.taylor@masseyhighschoo.school.nz,022-345-7585,2021-07-16,True
143,43,Lisa,Scott,HS_REP,lisa.scott@masseyhighschoo.school.nz,024-703-2268,2022-03-30,True
144,44,Kaia,Henderson,PRINCIPAL,kaia.henderson@waitakerecolleg.school.nz,027-649-4213,2020-02-01,True
145,44,Sam,Lee,SITE_MANAGER,sam.lee@waitakerecolleg.school.nz,027-805-5421,2021-08-20,True
146,44,Daniel,Baker,HS_REP,daniel.baker@waitakerecolleg.school.nz,021-744-8823,2022-09-09,True
147,45,Joanne,Baker,PRINCIPAL,joanne.baker@hendersonhighsc.school.nz,021-264-8326,2020-04-26,True
148,45,Ryan,Henderson,SITE_MANAGER,ryan.henderson@hendersonhighsc.school.nz,026-910-3714,2020-09-24,True
149,45,Hayley,Watson,HS_REP,hayley.watson@hendersonhighsc.school.nz,026-355-9117,2020-07-15,True
150,45,Rachel,Patel,CARETAKER,rachel.patel@hendersonhighsc.school.nz,022-829-1823,2021-11-14,True
151,46,Maia,Jones,PRINCIPAL,maia.jones@listoncollege.school.nz,027-476-4288,2020-08-30,True
152,46,Wiremu,Gray,SITE_MANAGER,wiremu.gray@listoncollege.school.nz,022-271-1738,2020-12-09,True
153,46,Nikau,Collins,HS_REP,nikau.collins@listoncollege.school.nz,021-829-4654,2020-12-07,True
154,47,Brooke,Chen,PRINCIPAL,brooke.chen@stdominicscatho.school.nz,022-372-9561,2021-08-15,True
155,47,Ruby,Baker,SITE_MANAGER,ruby.baker@stdominicscatho.school.nz,024-998-1110,2020-02-08,True
156,47,Zara,Turner,HS_REP,zara.turner@stdominicscatho.school.nz,021-973-2259,2020-04-18,True
157,47,Noah,Gallagher,CARETAKER,noah.gallagher@stdominicscatho.school.nz,028-746-8717,2021-10-05,True
158,48,Max,Gallagher,PRINCIPAL,max.gallagher@westernspringsc.school.nz,023-737-8541,2020-10-10,True
159,48,Emma,Harris,SITE_MANAGER,emma.harris@westernspringsc.school.nz,026-260-7712,2020-03-03,True
160,48,Andrew,Henderson,HS_REP,andrew.henderson@westernspringsc.school.nz,023-827-2522,2022-05-30,True
161,49,Grace,Burns,PRINCIPAL,grace.burns@selwyncollege.school.nz,026-962-1298,2022-07-29,True
162,49,James,Williams,SITE_MANAGER,james.williams@selwyncollege.school.nz,022-673-6252,2021-01-15,True
163,49,Grant,Turner,HS_REP,grant.turner@selwyncollege.school.nz,028-380-4530,2020-01-17,True
164,49,Wiremu,Morgan,CARETAKER,wiremu.morgan@selwyncollege.school.nz,021-598-8294,2021-12-15,True
165,50,Amber,Walker,PRINCIPAL,amber.walker@stmaryscollege(.school.nz,026-914-4297,2021-07-12,True
166,50,Rachel,Nguyen,SITE_MANAGER,rachel.nguyen@stmaryscollege(.school.nz,027-927-4435,2020-02-20,True
167,50,Josh,Palmer,HS_REP,josh.palmer@stmaryscollege(.school.nz,022-979-5855,2020-10-04,True
168,50,Sophie,Chen,CARETAKER,sophie.chen@stmaryscollege(.school.nz,022-480-1970,2020-03-09,True
169,51,Shane,Gallagher,PRINCIPAL,shane.gallagher@stpaulscollege(.school.nz,028-853-2411,2022-01-06,True
170,51,Maia,Brown,SITE_MANAGER,maia.brown@stpaulscollege(.school.nz,025-807-1401,2020-03-12,True
171,51,Sarah,Te Huia,HS_REP,sarah.te huia@stpaulscollege(.school.nz,024-928-7905,2020-05-11,True
172,51,David,Henderson,CARETAKER,david.henderson@stpaulscollege(.school.nz,022-901-1667,2022-02-16,True
173,52,Aroha,Cooper,PRINCIPAL,aroha.cooper@tyndaleparkchri.school.nz,024-303-6741,2021-02-05,True
174,52,Ihaia,Harawira,SITE_MANAGER,ihaia.harawira@tyndaleparkchri.school.nz,027-801-2614,2020-12-25,True
175,52,Andrew,Smith,HS_REP,andrew.smith@tyndaleparkchri.school.nz,023-931-9559,2021-05-31,True
176,52,Zara,Patel,CARETAKER,zara.patel@tyndaleparkchri.school.nz,022-778-8965,2021-04-01,True
177,53,Josh,Henare,PRINCIPAL,josh.henare@aucklandgirlsgr.school.nz,022-866-3794,2020-06-22,True
178,53,Grant,White,SITE_MANAGER,grant.white@aucklandgirlsgr.school.nz,026-590-7194,2021-06-19,True
179,53,Anika,Te Huia,HS_REP,anika.te huia@aucklandgirlsgr.school.nz,021-695-9343,2021-04-07,True
180,54,Anika,Harris,PRINCIPAL,anika.harris@aucklandgrammar.school.nz,024-357-2753,2020-07-08,True
181,54,Mason,Kim,SITE_MANAGER,mason.kim@aucklandgrammar.school.nz,023-352-9885,2021-07-13,True
182,54,Ihaia,Mitchell,HS_REP,ihaia.mitchell@aucklandgrammar.school.nz,022-125-3284,2020-07-31,True
183,54,Josh,Taukiri,CARETAKER,josh.taukiri@aucklandgrammar.school.nz,028-698-3193,2022-02-22,True
184,57,Matthew,Rewi,PRINCIPAL,matthew.rewi@tamakicollege.school.nz,024-797-6516,2020-05-10,True
185,57,Finn,Russell,SITE_MANAGER,finn.russell@tamakicollege.school.nz,021-784-3953,2022-03-10,True
186,57,Sam,White,HS_REP,sam.white@tamakicollege.school.nz,028-996-8902,2022-04-15,True
187,58,Liam,Wilson,PRINCIPAL,liam.wilson@tangaroacollege.school.nz,022-101-5134,2020-06-04,True
188,58,Karen,Wilson,SITE_MANAGER,karen.wilson@tangaroacollege.school.nz,027-113-3617,2020-06-22,True
189,58,Mason,Harawira,HS_REP,mason.harawira@tangaroacollege.school.nz,024-594-4141,2022-06-02,True
190,59,Grant,Wong,PRINCIPAL,grant.wong@sacredheartcoll.school.nz,026-766-8210,2020-11-13,True
191,59,Karen,Williams,SITE_MANAGER,karen.williams@sacredheartcoll.school.nz,026-691-7229,2022-03-20,True
192,59,Rawiri,Watson,HS_REP,rawiri.watson@sacredheartcoll.school.nz,027-899-4441,2020-01-29,True
193,59,Maia,Martin,CARETAKER,maia.martin@sacredheartcoll.school.nz,022-101-9412,2021-04-10,True
194,60,Rawiri,Parker,PRINCIPAL,rawiri.parker@saintkentigerng.school.nz,025-840-9371,2022-07-24,True
195,60,Ethan,Nguyen,SITE_MANAGER,ethan.nguyen@saintkentigerng.school.nz,028-262-8992,2020-04-09,True
196,60,Georgia,Campbell,HS_REP,georgia.campbell@saintkentigerng.school.nz,024-750-3179,2022-03-10,True
197,61,Liam,Lee,PRINCIPAL,liam.lee@baradenecollege.school.nz,022-443-4837,2020-01-13,True
198,61,Hemi,Williams,SITE_MANAGER,hemi.williams@baradenecollege.school.nz,023-847-4801,2021-01-24,True
199,61,Matthew,Fraser,HS_REP,matthew.fraser@baradenecollege.school.nz,027-195-9910,2021-10-27,True
200,62,Luke,Baker,PRINCIPAL,luke.baker@stpeterscollege.school.nz,025-875-6577,2020-02-02,True
201,62,Grant,Russell,SITE_MANAGER,grant.russell@stpeterscollege.school.nz,024-180-9083,2020-08-12,True
202,62,Zara,Collins,HS_REP,zara.collins@stpeterscollege.school.nz,022-260-1586,2021-03-16,True
203,63,Michelle,King,PRINCIPAL,michelle.king@marcellincolleg.school.nz,022-858-4948,2022-06-03,True
204,63,Ryan,Henare,SITE_MANAGER,ryan.henare@marcellincolleg.school.nz,026-848-1058,2020-03-17,True
205,63,Andrew,Chen,HS_REP,andrew.chen@marcellincolleg.school.nz,026-783-3699,2021-07-17,True
206,64,Ruby,Turner,PRINCIPAL,ruby.turner@epsomgirlsgramm.school.nz,022-755-4768,2020-07-20,True
207,64,Brooke,Gallagher,SITE_MANAGER,brooke.gallagher@epsomgirlsgramm.school.nz,022-552-9150,2022-06-06,True
208,64,Maia,Martin,HS_REP,maia.martin@epsomgirlsgramm.school.nz,026-784-5849,2021-02-08,True
209,64,Caleb,Hill,CARETAKER,caleb.hill@epsomgirlsgramm.school.nz,026-762-5974,2021-06-30,True
210,65,Freya,Burns,PRINCIPAL,freya.burns@glendowiecolleg.school.nz,021-600-1101,2021-11-01,True
211,65,Tia,Mahuta,SITE_MANAGER,tia.mahuta@glendowiecolleg.school.nz,026-168-5063,2021-12-10,True
212,65,Brooke,Wright,HS_REP,brooke.wright@glendowiecolleg.school.nz,028-377-5444,2020-12-31,True
213,65,Brooke,Wright,CARETAKER,brooke.wright@glendowiecolleg.school.nz,021-429-8279,2022-08-07,True
214,66,Sarah,Gallagher,PRINCIPAL,sarah.gallagher@dilworthschool.school.nz,026-907-7863,2022-02-04,True
215,66,Mere,King,SITE_MANAGER,mere.king@dilworthschool.school.nz,024-900-8016,2021-11-26,True
216,66,Wiremu,Nguyen,HS_REP,wiremu.nguyen@dilworthschool.school.nz,024-207-9762,2022-01-24,True
217,67,Ethan,Hall,PRINCIPAL,ethan.hall@diocesanschoolf.school.nz,025-619-3162,2022-01-08,True
218,67,Nikau,Williams,SITE_MANAGER,nikau.williams@diocesanschoolf.school.nz,026-697-1838,2020-12-11,True
219,67,Josh,Green,HS_REP,josh.green@diocesanschoolf.school.nz,026-857-1029,2021-04-01,True
220,67,Shane,Gray,CARETAKER,shane.gray@diocesanschoolf.school.nz,025-125-5455,2022-05-18,True
221,68,Caleb,Harris,PRINCIPAL,caleb.harris@stcuthbertscoll.school.nz,022-681-3006,2021-12-01,True
222,68,Nikau,Harawira,SITE_MANAGER,nikau.harawira@stcuthbertscoll.school.nz,028-133-9927,2022-05-09,True
223,68,Ethan,Jones,HS_REP,ethan.jones@stcuthbertscoll.school.nz,022-274-3479,2021-04-24,True
224,69,Freya,Baker,PRINCIPAL,freya.baker@mtalbertgrammar.school.nz,023-366-3851,2022-09-16,True
225,69,Simon,Wright,SITE_MANAGER,simon.wright@mtalbertgrammar.school.nz,026-503-8734,2022-05-17,True
226,69,Moana,Robinson,HS_REP,moana.robinson@mtalbertgrammar.school.nz,026-901-9724,2022-09-16,True
227,70,Aroha,Wright,PRINCIPAL,aroha.wright@maristcollege.school.nz,025-213-1477,2020-06-03,True
228,70,Grace,Jones,SITE_MANAGER,grace.jones@maristcollege.school.nz,023-398-1067,2022-07-15,True
229,70,Olivia,Taylor,HS_REP,olivia.taylor@maristcollege.school.nz,027-774-1300,2020-07-23,True
230,70,Hayley,Wright,CARETAKER,hayley.wright@maristcollege.school.nz,022-401-4689,2020-04-25,True
231,74,Stacey,Roberts,PRINCIPAL,stacey.roberts@mtroskillgramma.school.nz,028-746-9256,2021-08-13,True
232,74,Scott,Parker,SITE_MANAGER,scott.parker@mtroskillgramma.school.nz,026-919-6427,2020-05-25,True
233,74,Matthew,Harris,HS_REP,matthew.harris@mtroskillgramma.school.nz,022-510-9568,2022-06-25,True
234,74,Anika,Henderson,CARETAKER,anika.henderson@mtroskillgramma.school.nz,023-680-1325,2022-04-02,True
235,75,Liam,Kim,PRINCIPAL,liam.kim@lynfieldcollege.school.nz,024-112-2813,2020-01-29,True
236,75,Jack,Walker,SITE_MANAGER,jack.walker@lynfieldcollege.school.nz,022-987-9130,2020-04-07,True
237,75,Kylie,Martin,HS_REP,kylie.martin@lynfieldcollege.school.nz,025-929-5085,2022-05-20,True
238,77,Hayley,Smith,PRINCIPAL,hayley.smith@bethlehemcolleg.school.nz,023-783-4542,2022-01-03,True
239,77,Rawiri,Young,SITE_MANAGER,rawiri.young@bethlehemcolleg.school.nz,024-598-3439,2020-01-23,True
240,77,Anika,Palmer,HS_REP,anika.palmer@bethlehemcolleg.school.nz,022-286-8195,2021-12-31,True
241,77,Noah,Rewi,CARETAKER,noah.rewi@bethlehemcolleg.school.nz,023-926-7905,2020-02-17,True
